link_id,speed,insert_time
2333331300,56,23:05
2333345900,103,23:05
2333042100,23,23:05
2333188600,37,23:05
2333188500,46,23:05
2160383900,30,23:05
2333188900,31,23:05
2333056300,42,23:05
2334269100,22,23:05
2333345500,96,23:05
2333056401,39,23:05
2333056402,16,23:05
2334269200,18,23:05
2330032901,59,23:05
2333345400,91,23:05
2333345700,101,23:05
2333056501,26,23:05
2333056502,33,23:05
2333042000,50,23:05
2334269000,30,23:05
2334269500,28,23:05
2170317600,16,23:05
2170028400,37,23:05
2330032400,39,23:05
2334269600,28,23:05
2334255000,13,23:05
2170317400,34,23:05
2170028500,35,23:05
2334269300,15,23:05
2170028200,27,23:05
2170092800,29,23:05
2334269400,14,23:05
2170092900,31,23:05
2170028300,26,23:05
2334255300,9,23:05
2160002300,48,23:05
2334269900,39,23:05
2170028800,31,23:05
2334098000,31,23:05
2330032000,46,23:05
2334255400,28,23:05
2160002400,43,23:05
2170028900,25,23:05
2330032103,44,23:05
2160002503,41,23:05
2160002505,21,23:05
2160002506,60,23:05
2160002507,66,23:05
2170028600,48,23:05
2334255100,9,23:05
2334269700,35,23:05
2170317801,70,23:05
2170317802,70,23:05
2160002603,40,23:05
2160002605,46,23:05
2160002606,55,23:05
2160002607,41,23:05
2330032203,45,23:05
2170028700,26,23:05
2334269800,18,23:05
2334255200,18,23:05
2170317701,62,23:05
2170317702,41,23:05
2330032300,61,23:05
2160002700,31,23:05
2170093400,22,23:05
2334241100,52,23:05
2170382600,29,23:05
2333109800,55,23:05
2160001500,29,23:05
2334255800,21,23:05
2334241200,53,23:05
2333109900,62,23:05
2170093500,22,23:05
2330033001,40,23:05
2334241300,34,23:05
2170029000,23,23:05
2160001600,31,23:05
2334255900,15,23:05
2170093200,31,23:05
2334255500,22,23:05
2160001700,24,23:05
2170093300,25,23:05
2334241000,46,23:05
2334255600,22,23:05
2160001800,42,23:05
2334255700,26,23:05
2170093800,27,23:05
2170318400,28,23:05
2170029300,17,23:05
2333109300,79,23:05
2170093900,23,23:05
2334241600,51,23:05
2170318300,38,23:05
2334241700,30,23:05
2170029400,28,23:05
2333109400,83,23:05
2170382900,28,23:05
2170382800,18,23:05
2170318200,40,23:05
2160383000,22,23:05
2170093600,24,23:05
2333109500,54,23:05
2334241400,30,23:05
