2025-07-17 11:19:02 - INFO - app - 📆 date_range 모드: 총 22일 간 데이터 조회 예정 → [datetime.datetime(2025, 6, 10, 0, 0), datetime.datetime(2025, 6, 11, 0, 0), datetime.datetime(2025, 6, 12, 0, 0), datetime.datetime(2025, 6, 13, 0, 0), datetime.datetime(2025, 6, 14, 0, 0), datetime.datetime(2025, 6, 17, 0, 0), datetime.datetime(2025, 6, 18, 0, 0), datetime.datetime(2025, 6, 19, 0, 0), datetime.datetime(2025, 6, 20, 0, 0), datetime.datetime(2025, 6, 21, 0, 0), datetime.datetime(2025, 6, 24, 0, 0), datetime.datetime(2025, 6, 25, 0, 0), datetime.datetime(2025, 6, 26, 0, 0), datetime.datetime(2025, 6, 27, 0, 0), datetime.datetime(2025, 6, 28, 0, 0), datetime.datetime(2025, 6, 29, 0, 0), datetime.datetime(2025, 6, 30, 0, 0), datetime.datetime(2025, 7, 1, 0, 0), datetime.datetime(2025, 7, 2, 0, 0), datetime.datetime(2025, 7, 3, 0, 0), datetime.datetime(2025, 7, 4, 0, 0), datetime.datetime(2025, 7, 5, 0, 0)]
2025-07-17 11:19:54 - INFO - app - Saved model for step 49 → Model/v2/lgbm_step_049.pkl
2025-07-17 11:19:54 - INFO - app - Saved model for step 50 → Model/v2/lgbm_step_050.pkl
2025-07-17 11:19:54 - INFO - app - Saved model for step 51 → Model/v2/lgbm_step_051.pkl
2025-07-17 11:19:55 - INFO - app - Saved model for step 52 → Model/v2/lgbm_step_052.pkl
2025-07-17 11:19:55 - INFO - app - Saved model for step 53 → Model/v2/lgbm_step_053.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 54 → Model/v2/lgbm_step_054.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 55 → Model/v2/lgbm_step_055.pkl
2025-07-17 11:19:56 - INFO - app - Saved model for step 56 → Model/v2/lgbm_step_056.pkl
2025-07-17 11:19:57 - INFO - app - Saved model for step 57 → Model/v2/lgbm_step_057.pkl
2025-07-17 11:19:57 - INFO - app - Saved model for step 58 → Model/v2/lgbm_step_058.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 59 → Model/v2/lgbm_step_059.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 60 → Model/v2/lgbm_step_060.pkl
2025-07-17 11:19:58 - INFO - app - Saved model for step 61 → Model/v2/lgbm_step_061.pkl
2025-07-17 11:19:59 - INFO - app - Saved model for step 62 → Model/v2/lgbm_step_062.pkl
2025-07-17 11:19:59 - INFO - app - Saved model for step 63 → Model/v2/lgbm_step_063.pkl
2025-07-17 11:20:00 - INFO - app - Saved model for step 64 → Model/v2/lgbm_step_064.pkl
2025-07-17 11:20:00 - INFO - app - Saved model for step 65 → Model/v2/lgbm_step_065.pkl
2025-07-17 11:20:00 - INFO - app - Saved model for step 66 → Model/v2/lgbm_step_066.pkl
2025-07-17 11:20:01 - INFO - app - Saved model for step 67 → Model/v2/lgbm_step_067.pkl
2025-07-17 11:20:01 - INFO - app - Saved model for step 68 → Model/v2/lgbm_step_068.pkl
2025-07-17 11:20:02 - INFO - app - Saved model for step 69 → Model/v2/lgbm_step_069.pkl
2025-07-17 11:20:02 - INFO - app - Saved model for step 70 → Model/v2/lgbm_step_070.pkl
2025-07-17 11:20:02 - INFO - app - Saved model for step 71 → Model/v2/lgbm_step_071.pkl
2025-07-17 11:20:03 - INFO - app - Saved model for step 72 → Model/v2/lgbm_step_072.pkl
2025-07-17 11:20:03 - INFO - app - Saved model for step 73 → Model/v2/lgbm_step_073.pkl
2025-07-17 11:20:04 - INFO - app - Saved model for step 74 → Model/v2/lgbm_step_074.pkl
2025-07-17 11:20:04 - INFO - app - Saved model for step 75 → Model/v2/lgbm_step_075.pkl
2025-07-17 11:20:04 - INFO - app - Saved model for step 76 → Model/v2/lgbm_step_076.pkl
2025-07-17 11:20:05 - INFO - app - Saved model for step 77 → Model/v2/lgbm_step_077.pkl
2025-07-17 11:20:05 - INFO - app - Saved model for step 78 → Model/v2/lgbm_step_078.pkl
2025-07-17 11:20:06 - INFO - app - Saved model for step 79 → Model/v2/lgbm_step_079.pkl
2025-07-17 11:20:06 - INFO - app - Saved model for step 80 → Model/v2/lgbm_step_080.pkl
2025-07-17 11:20:06 - INFO - app - Saved model for step 81 → Model/v2/lgbm_step_081.pkl
2025-07-17 11:20:07 - INFO - app - Saved model for step 82 → Model/v2/lgbm_step_082.pkl
2025-07-17 11:20:07 - INFO - app - Saved model for step 83 → Model/v2/lgbm_step_083.pkl
2025-07-17 11:20:08 - INFO - app - Saved model for step 84 → Model/v2/lgbm_step_084.pkl
2025-07-17 11:20:08 - INFO - app - Saved model for step 85 → Model/v2/lgbm_step_085.pkl
2025-07-17 11:20:08 - INFO - app - Saved model for step 86 → Model/v2/lgbm_step_086.pkl
2025-07-17 11:20:09 - INFO - app - Saved model for step 87 → Model/v2/lgbm_step_087.pkl
2025-07-17 11:20:09 - INFO - app - Saved model for step 88 → Model/v2/lgbm_step_088.pkl
2025-07-17 11:20:10 - INFO - app - Saved model for step 89 → Model/v2/lgbm_step_089.pkl
2025-07-17 11:20:10 - INFO - app - Saved model for step 90 → Model/v2/lgbm_step_090.pkl
2025-07-17 11:20:11 - INFO - app - Saved model for step 91 → Model/v2/lgbm_step_091.pkl
2025-07-17 11:20:11 - INFO - app - Saved model for step 92 → Model/v2/lgbm_step_092.pkl
2025-07-17 11:20:11 - INFO - app - Saved model for step 93 → Model/v2/lgbm_step_093.pkl
2025-07-17 11:20:12 - INFO - app - Saved model for step 94 → Model/v2/lgbm_step_094.pkl
2025-07-17 11:20:12 - INFO - app - Saved model for step 95 → Model/v2/lgbm_step_095.pkl
2025-07-17 11:20:13 - INFO - app - Saved model for step 96 → Model/v2/lgbm_step_096.pkl
2025-07-17 11:20:13 - INFO - app - Saved model for step 97 → Model/v2/lgbm_step_097.pkl
2025-07-17 11:20:13 - INFO - app - Saved model for step 98 → Model/v2/lgbm_step_098.pkl
2025-07-17 11:20:14 - INFO - app - Saved model for step 99 → Model/v2/lgbm_step_099.pkl
2025-07-17 11:20:16 - INFO - app - Saved model for step 100 → Model/v2/lgbm_step_100.pkl
2025-07-17 11:20:16 - INFO - app - Saved model for step 101 → Model/v2/lgbm_step_101.pkl
2025-07-17 11:20:16 - INFO - app - Saved model for step 102 → Model/v2/lgbm_step_102.pkl
2025-07-17 11:20:17 - INFO - app - Saved model for step 103 → Model/v2/lgbm_step_103.pkl
2025-07-17 11:20:17 - INFO - app - Saved model for step 104 → Model/v2/lgbm_step_104.pkl
2025-07-17 11:20:18 - INFO - app - Saved model for step 105 → Model/v2/lgbm_step_105.pkl
2025-07-17 11:20:18 - INFO - app - Saved model for step 106 → Model/v2/lgbm_step_106.pkl
2025-07-17 11:20:19 - INFO - app - Saved model for step 107 → Model/v2/lgbm_step_107.pkl
2025-07-17 11:20:19 - INFO - app - Saved model for step 108 → Model/v2/lgbm_step_108.pkl
2025-07-17 11:20:19 - INFO - app - Saved model for step 109 → Model/v2/lgbm_step_109.pkl
2025-07-17 11:20:20 - INFO - app - Saved model for step 110 → Model/v2/lgbm_step_110.pkl
2025-07-17 11:20:20 - INFO - app - Saved model for step 111 → Model/v2/lgbm_step_111.pkl
2025-07-17 11:20:21 - INFO - app - Saved model for step 112 → Model/v2/lgbm_step_112.pkl
2025-07-17 11:20:21 - INFO - app - Saved model for step 113 → Model/v2/lgbm_step_113.pkl
2025-07-17 11:20:21 - INFO - app - Saved model for step 114 → Model/v2/lgbm_step_114.pkl
2025-07-17 11:20:22 - INFO - app - Saved model for step 115 → Model/v2/lgbm_step_115.pkl
2025-07-17 11:20:22 - INFO - app - Saved model for step 116 → Model/v2/lgbm_step_116.pkl
2025-07-17 11:20:23 - INFO - app - Saved model for step 117 → Model/v2/lgbm_step_117.pkl
2025-07-17 11:20:23 - INFO - app - Saved model for step 118 → Model/v2/lgbm_step_118.pkl
2025-07-17 11:20:23 - INFO - app - Saved model for step 119 → Model/v2/lgbm_step_119.pkl
2025-07-17 11:20:24 - INFO - app - Saved model for step 120 → Model/v2/lgbm_step_120.pkl
2025-07-17 11:20:24 - INFO - app - Saved model for step 121 → Model/v2/lgbm_step_121.pkl
2025-07-17 11:20:25 - INFO - app - Saved model for step 122 → Model/v2/lgbm_step_122.pkl
2025-07-17 11:20:25 - INFO - app - Saved model for step 123 → Model/v2/lgbm_step_123.pkl
2025-07-17 11:20:25 - INFO - app - Saved model for step 124 → Model/v2/lgbm_step_124.pkl
2025-07-17 11:20:26 - INFO - app - Saved model for step 125 → Model/v2/lgbm_step_125.pkl
2025-07-17 11:20:26 - INFO - app - Saved model for step 126 → Model/v2/lgbm_step_126.pkl
2025-07-17 11:20:27 - INFO - app - Saved model for step 127 → Model/v2/lgbm_step_127.pkl
2025-07-17 11:20:27 - INFO - app - Saved model for step 128 → Model/v2/lgbm_step_128.pkl
2025-07-17 11:20:27 - INFO - app - Saved model for step 129 → Model/v2/lgbm_step_129.pkl
2025-07-17 11:20:28 - INFO - app - Saved model for step 130 → Model/v2/lgbm_step_130.pkl
2025-07-17 11:20:28 - INFO - app - Saved model for step 131 → Model/v2/lgbm_step_131.pkl
2025-07-17 11:20:29 - INFO - app - Saved model for step 132 → Model/v2/lgbm_step_132.pkl
2025-07-17 11:20:29 - INFO - app - Saved model for step 133 → Model/v2/lgbm_step_133.pkl
2025-07-17 11:20:29 - INFO - app - Saved model for step 134 → Model/v2/lgbm_step_134.pkl
2025-07-17 11:20:30 - INFO - app - Saved model for step 135 → Model/v2/lgbm_step_135.pkl
2025-07-17 11:20:30 - INFO - app - Saved model for step 136 → Model/v2/lgbm_step_136.pkl
2025-07-17 11:20:31 - INFO - app - Saved model for step 137 → Model/v2/lgbm_step_137.pkl
2025-07-17 11:20:31 - INFO - app - Saved model for step 138 → Model/v2/lgbm_step_138.pkl
2025-07-17 11:20:31 - INFO - app - Saved model for step 139 → Model/v2/lgbm_step_139.pkl
2025-07-17 11:20:32 - INFO - app - Saved model for step 140 → Model/v2/lgbm_step_140.pkl
2025-07-17 11:20:32 - INFO - app - Saved model for step 141 → Model/v2/lgbm_step_141.pkl
2025-07-17 11:20:33 - INFO - app - Saved model for step 142 → Model/v2/lgbm_step_142.pkl
2025-07-17 11:20:33 - INFO - app - Saved model for step 143 → Model/v2/lgbm_step_143.pkl
2025-07-17 11:20:34 - INFO - app - Saved model for step 144 → Model/v2/lgbm_step_144.pkl
2025-07-17 11:20:34 - INFO - app - Saved model for step 145 → Model/v2/lgbm_step_145.pkl
2025-07-17 11:20:34 - INFO - app - Saved model for step 146 → Model/v2/lgbm_step_146.pkl
2025-07-17 11:20:35 - INFO - app - Saved model for step 147 → Model/v2/lgbm_step_147.pkl
2025-07-17 11:20:35 - INFO - app - Saved model for step 148 → Model/v2/lgbm_step_148.pkl
2025-07-17 11:20:36 - INFO - app - Saved model for step 149 → Model/v2/lgbm_step_149.pkl
2025-07-17 11:20:36 - INFO - app - Saved model for step 150 → Model/v2/lgbm_step_150.pkl
2025-07-17 11:20:36 - INFO - app - Saved model for step 151 → Model/v2/lgbm_step_151.pkl
2025-07-17 11:20:37 - INFO - app - Saved model for step 152 → Model/v2/lgbm_step_152.pkl
2025-07-17 11:20:37 - INFO - app - Saved model for step 153 → Model/v2/lgbm_step_153.pkl
2025-07-17 11:20:38 - INFO - app - Saved model for step 154 → Model/v2/lgbm_step_154.pkl
2025-07-17 11:20:38 - INFO - app - Saved model for step 155 → Model/v2/lgbm_step_155.pkl
2025-07-17 11:20:38 - INFO - app - Saved model for step 156 → Model/v2/lgbm_step_156.pkl
2025-07-17 11:20:39 - INFO - app - Saved model for step 157 → Model/v2/lgbm_step_157.pkl
2025-07-17 11:20:39 - INFO - app - Saved model for step 158 → Model/v2/lgbm_step_158.pkl
2025-07-17 11:20:40 - INFO - app - Saved model for step 159 → Model/v2/lgbm_step_159.pkl
2025-07-17 11:20:40 - INFO - app - Saved model for step 160 → Model/v2/lgbm_step_160.pkl
2025-07-17 11:20:40 - INFO - app - Saved model for step 161 → Model/v2/lgbm_step_161.pkl
2025-07-17 11:20:41 - INFO - app - Saved model for step 162 → Model/v2/lgbm_step_162.pkl
2025-07-17 11:20:41 - INFO - app - Saved model for step 163 → Model/v2/lgbm_step_163.pkl
2025-07-17 11:20:42 - INFO - app - Saved model for step 164 → Model/v2/lgbm_step_164.pkl
2025-07-17 11:20:42 - INFO - app - Saved model for step 165 → Model/v2/lgbm_step_165.pkl
2025-07-17 11:20:43 - INFO - app - Saved model for step 166 → Model/v2/lgbm_step_166.pkl
2025-07-17 11:20:43 - INFO - app - Saved model for step 167 → Model/v2/lgbm_step_167.pkl
2025-07-17 11:20:43 - INFO - app - Saved model for step 168 → Model/v2/lgbm_step_168.pkl
2025-07-17 11:20:44 - INFO - app - Saved model for step 169 → Model/v2/lgbm_step_169.pkl
2025-07-17 11:20:44 - INFO - app - Saved model for step 170 → Model/v2/lgbm_step_170.pkl
2025-07-17 11:20:45 - INFO - app - Saved model for step 171 → Model/v2/lgbm_step_171.pkl
2025-07-17 11:20:45 - INFO - app - Saved model for step 172 → Model/v2/lgbm_step_172.pkl
2025-07-17 11:20:45 - INFO - app - Saved model for step 173 → Model/v2/lgbm_step_173.pkl
2025-07-17 11:20:46 - INFO - app - Saved model for step 174 → Model/v2/lgbm_step_174.pkl
2025-07-17 11:20:46 - INFO - app - Saved model for step 175 → Model/v2/lgbm_step_175.pkl
2025-07-17 11:20:47 - INFO - app - Saved model for step 176 → Model/v2/lgbm_step_176.pkl
2025-07-17 11:20:47 - INFO - app - Saved model for step 177 → Model/v2/lgbm_step_177.pkl
2025-07-17 11:20:47 - INFO - app - Saved model for step 178 → Model/v2/lgbm_step_178.pkl
2025-07-17 11:20:48 - INFO - app - Saved model for step 179 → Model/v2/lgbm_step_179.pkl
2025-07-17 11:20:50 - INFO - app - Saved model for step 180 → Model/v2/lgbm_step_180.pkl
2025-07-17 11:20:50 - INFO - app - Saved model for step 181 → Model/v2/lgbm_step_181.pkl
2025-07-17 11:20:51 - INFO - app - Saved model for step 182 → Model/v2/lgbm_step_182.pkl
2025-07-17 11:20:51 - INFO - app - Saved model for step 183 → Model/v2/lgbm_step_183.pkl
2025-07-17 11:20:51 - INFO - app - Saved model for step 184 → Model/v2/lgbm_step_184.pkl
2025-07-17 11:20:52 - INFO - app - Saved model for step 185 → Model/v2/lgbm_step_185.pkl
2025-07-17 11:20:52 - INFO - app - Saved model for step 186 → Model/v2/lgbm_step_186.pkl
2025-07-17 11:20:53 - INFO - app - Saved model for step 187 → Model/v2/lgbm_step_187.pkl
2025-07-17 11:20:53 - INFO - app - Saved model for step 188 → Model/v2/lgbm_step_188.pkl
