2025-08-09 08:14:30 - INFO - app - 📆 date_range 모드: 총 56일 간 데이터 조회 예정 → [datetime.datetime(2025, 4, 1, 0, 0), datetime.datetime(2025, 4, 2, 0, 0), datetime.datetime(2025, 4, 3, 0, 0), datetime.datetime(2025, 4, 4, 0, 0), datetime.datetime(2025, 4, 5, 0, 0), datetime.datetime(2025, 4, 6, 0, 0), datetime.datetime(2025, 4, 7, 0, 0), datetime.datetime(2025, 4, 8, 0, 0), datetime.datetime(2025, 4, 9, 0, 0), datetime.datetime(2025, 4, 10, 0, 0), datetime.datetime(2025, 4, 11, 0, 0), datetime.datetime(2025, 4, 12, 0, 0), datetime.datetime(2025, 4, 13, 0, 0), datetime.datetime(2025, 4, 14, 0, 0), datetime.datetime(2025, 4, 15, 0, 0), datetime.datetime(2025, 4, 16, 0, 0), datetime.datetime(2025, 4, 17, 0, 0), datetime.datetime(2025, 4, 18, 0, 0), datetime.datetime(2025, 4, 19, 0, 0), datetime.datetime(2025, 4, 20, 0, 0), datetime.datetime(2025, 4, 21, 0, 0), datetime.datetime(2025, 4, 22, 0, 0), datetime.datetime(2025, 4, 23, 0, 0), datetime.datetime(2025, 4, 24, 0, 0), datetime.datetime(2025, 4, 25, 0, 0), datetime.datetime(2025, 4, 26, 0, 0), datetime.datetime(2025, 4, 27, 0, 0), datetime.datetime(2025, 4, 28, 0, 0), datetime.datetime(2025, 4, 29, 0, 0), datetime.datetime(2025, 4, 30, 0, 0), datetime.datetime(2025, 5, 1, 0, 0), datetime.datetime(2025, 5, 2, 0, 0), datetime.datetime(2025, 5, 3, 0, 0), datetime.datetime(2025, 5, 4, 0, 0), datetime.datetime(2025, 5, 5, 0, 0), datetime.datetime(2025, 5, 6, 0, 0), datetime.datetime(2025, 5, 7, 0, 0), datetime.datetime(2025, 5, 8, 0, 0), datetime.datetime(2025, 5, 9, 0, 0), datetime.datetime(2025, 5, 10, 0, 0), datetime.datetime(2025, 5, 11, 0, 0), datetime.datetime(2025, 5, 12, 0, 0), datetime.datetime(2025, 5, 13, 0, 0), datetime.datetime(2025, 5, 14, 0, 0), datetime.datetime(2025, 5, 15, 0, 0), datetime.datetime(2025, 5, 16, 0, 0), datetime.datetime(2025, 5, 17, 0, 0), datetime.datetime(2025, 5, 18, 0, 0), datetime.datetime(2025, 5, 19, 0, 0), datetime.datetime(2025, 5, 20, 0, 0), datetime.datetime(2025, 5, 21, 0, 0), datetime.datetime(2025, 5, 22, 0, 0), datetime.datetime(2025, 5, 23, 0, 0), datetime.datetime(2025, 5, 24, 0, 0), datetime.datetime(2025, 5, 25, 0, 0), datetime.datetime(2025, 5, 26, 0, 0)]
2025-08-09 08:14:30 - INFO - app - 📊 확장된 범위: 2025-03-24 ~ 2025-05-26 (총 64개 파일)
2025-08-09 08:14:30 - INFO - app - 🔍 최대 lookback: 8일 (10135분)
2025-08-09 08:14:30 - INFO - app - ✅ Data load skip: 총 64개 파일 저장됨
2025-08-09 08:14:30 - INFO - app - ✅ 데이터 전처리 skip: Model/v0에 저장됨
2025-08-09 08:14:30 - INFO - app - ✅ MAPE for model 0 loaded from cache: 0.1289
2025-08-09 08:14:30 - INFO - app - ✅ MAPE for model 1 loaded from cache: 0.2293
2025-08-09 08:14:30 - INFO - app - ✅ MAPE for model 2 loaded from cache: 0.1434
2025-08-09 08:14:30 - INFO - app - ✅ MAPE for model 3 loaded from cache: 0.1488
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 4 loaded from cache: 0.5011
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 5 loaded from cache: 0.1871
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 6 loaded from cache: 0.5571
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 7 loaded from cache: 0.5819
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 8 loaded from cache: 0.5773
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 9 loaded from cache: 0.3641
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 10 loaded from cache: 0.2689
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 11 loaded from cache: 0.2629
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 12 loaded from cache: 0.4317
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 13 loaded from cache: 0.4431
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 14 loaded from cache: 0.1575
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 15 loaded from cache: 0.2049
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 16 loaded from cache: 0.1332
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 17 loaded from cache: 0.2421
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 18 loaded from cache: 0.2097
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 19 loaded from cache: 0.6253
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 20 loaded from cache: 0.4859
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 21 loaded from cache: 0.6686
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 22 loaded from cache: 0.7378
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 23 loaded from cache: 0.6341
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 24 loaded from cache: 0.1661
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 25 loaded from cache: 0.3429
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 26 loaded from cache: 0.1499
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 27 loaded from cache: 0.5924
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 28 loaded from cache: 0.1072
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 29 loaded from cache: 0.3842
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 30 loaded from cache: 0.3956
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 31 loaded from cache: 0.3519
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 32 loaded from cache: 0.4808
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 33 loaded from cache: 0.5287
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 34 loaded from cache: 0.6446
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 35 loaded from cache: 0.6397
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 36 loaded from cache: 0.5155
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 37 loaded from cache: 0.3706
2025-08-09 08:14:31 - INFO - app - ✅ MAPE for model 38 loaded from cache: 0.3693
